1,agua
2,ahumado
3,alcohol
4,alibia
5,atun
6,balsámico
7,bifidus
8,bollo
9,café
10,centeno
11,cerveza
12,conserva
13,crema
14,desnatado-a
15,ensalada
16,fruta
17,garbanzo
18,gaseosa
19,huevos
20,leche
21,lentejas
22,limpieza
23,lonchas
24,melocotón
25,microondas
26,paleta
27,pan
28,panecillo
29,pavo
30,picatostes
31,platano
32,precocinados
33,queso
34,salmon
35,tomate
36,tortilla
37,verduras
38,vinagre
39,yogurt
40,zumo
41,natural
42,mayonesa
43,0.0
44,pimiento
45,rojo-a
46,hortalizas
47,pera
48,verde
49,patata
50,suelo
51,aceite
52,oliva
53,virgen
54,extra
55,champú
56,colutorio
57,jabón
58,calabacín
59,guacamole
60,lavavajillas
61,lejía
62,tinte
63,curry
64,bacalao
65,desalado
66,merluza
67,pescado
68,congelados
69,perejil
70,tarro
71,papel
72,higiénico
73,asado
74,tiras
75,lomo
76,adobado
77,zanahoria
78,naranja
79,cebolla
80,aceituna
81,negra
82,sin hueso
